Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Unemployment (%, age 15plus)",Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Human Development Index (HDI),Inflation (annual %),Internet users (%),Median age ,Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,27.6,6.24,97.4,1.35,38,0.75,1.37,52.6,41,0.972,,69.3,-0.138,47.2,40.7
Lesotho,Sub-Saharan Africa,97,4.898,0.09438,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,,4.97,98.4,3.14,44,0.497,9.91,25,21.3,1.89,,71.6,2.86,26.9,
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,7.61,5.6,83.6,2.45,33,0.722,0.641,54.2,26.1,0.673,,218,2.32,78.6,41.1
Laos,Southeastern Asia,99,4.876,0.06698,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,,,,,,,,,,,,,,,
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,4.86,13.4,103,2.79,39,0.735,1.73,22.5,27.1,0.866,,1.92,1.89,68.2,48
Swaziland,Sub-Saharan Africa,101,4.867,0.08742,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,,9.59,71.3,3.14,,0.541,7.55,25.6,20.4,1.69,,76.7,2.48,23.3,
Greece,Western Europe,102,4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,24.9,3.75,112,1.31,46,0.866,-1.02,66.8,43.3,2.47,0.752,87,-0.217,78,40.9
Lebanon,Middle East and Northern Africa,103,4.839,0.04337,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,,3.45,79.6,1.72,28,0.763,2.56,74,28.5,4.41,,572,4.51,88.1,
Hungary,Central and Eastern Europe,104,4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,6.81,3.71,120,1.36,51,0.836,1.88,72.8,41.7,0.938,1.02,108,0.15,70.5,38.5
Honduras,Latin America and Caribbean,105,4.788,0.05648,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,4.59,12.2,89.8,2.51,31,0.625,6.93,27.6,23,1.55,,80.1,2.89,55.2,39.2
Tajikistan,Central and Eastern Europe,106,4.786,0.03198,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,,21.9,99.3,3.4,26,0.627,0.124,19,22.4,1.22,,61.1,2.52,26.7,
Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,15.2,10.2,129,2.22,38,0.725,3.59,46.5,31.1,2.27,,72.6,1.58,68.1,
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.04394,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,,,,,,,,,,,,,,,
Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,,14.8,81.5,2.13,25,0.579,5.87,14.4,25.6,1.35,,1240,3.4,34.3,
Iran,Middle East and Northern Africa,110,4.686,0.04449,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,11.1,10.5,93.5,1.69,27,0.774,0.429,45.3,29.5,2.63,,48.7,1.93,73.4,
Ukraine,Central and Eastern Europe,111,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,9.14,12.1,144,1.53,27,0.743,38.9,48.9,40.3,3.97,,77.1,-0.126,69.1,39
Iraq,Middle East and Northern Africa,112,4.677,0.05232,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,,4.75,92.9,4.43,16,0.649,-26.9,17.2,19.4,5.35,,83.2,3.35,69.9,
