Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Unemployment (%, age 15plus)",Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Human Development Index (HDI),Inflation (annual %),Internet users (%),Median age ,Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week
Sierra Leone,Sub-Saharan Africa,123,4.507,0.07068,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,,58.7,78.2,4.56,29,0.42,18.9,6.34,18.3,0.931,,100,3.18,40.8,
Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,,24.5,87.1,4.74,31,0.513,-4.87,15.2,19.7,3.77,,4.06,4.62,51.1,
Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,,30.2,79.8,3.92,25,0.555,10,16.6,19,1.33,,83,4.32,25.7,
Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,,1.78,33.9,2.91,34,0.473,2.37,11.9,23.7,,,40,1.79,77.4,
Armenia,Central and Eastern Europe,127,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,18.3,17.2,119,1.66,35,0.743,1.21,59.1,33.9,4.24,1.12,102,0.326,63.1,38.3
Botswana,Sub-Saharan Africa,128,4.332,0.04934,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,,2.2,157,2.77,63,0.698,1.86,37.3,24.4,2.66,,3.9,3.03,67.2,
Myanmar,Southeastern Asia,129,4.307,0.04351,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,0.766,26.8,78.2,2.23,22,0.556,4.14,21.7,27.7,4.08,,80.2,1.62,29.9,50.8
Georgia,Central and Eastern Europe,130,4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,,7.9,140,2,52,0.769,5.89,47.6,38,2.38,1.7,56.9,0.399,57.4,
Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,,27.5,37.4,4.65,31,0.476,20.5,9.3,17.4,0.632,,186,4.03,16.3,
Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,4.67,8.18,115,2.06,37,0.766,0.649,30,32.3,2.55,,330,1.14,18.3,
Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,,14.8,79.5,4.78,27,0.518,0.179,20.7,18.3,1.25,,48.3,3.75,54.6,
Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,9.14,4.14,128,1.55,41,0.794,2.21,56.7,43.5,1.32,,66.1,-0.179,74,40.2
Egypt,Middle East and Northern Africa,135,4.194,0.0326,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,13.1,11.4,100,3.31,36,0.691,9.93,37.8,24.7,1.55,0.166,94.2,1.99,42.8,46.2
Yemen,Middle East and Northern Africa,136,4.077,0.04367,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,,10.3,55.8,4.1,18,0.482,27.4,24.1,19.2,,,51,4.3,34.8,
Angola,Sub-Saharan Africa,137,4.033,0.04758,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,,,49.8,5.77,15,0.533,-3.98,12.4,16.4,3.13,,22.3,4.56,63.4,
Mali,Sub-Saharan Africa,138,3.995,0.05602,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,7.73,37.7,130,6.15,35,0.442,2.79,10.3,16,2.36,,14.3,4.94,40,42.6
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.06682,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,,,,,,,,,,,,,,,
Comoros,Sub-Saharan Africa,140,3.956,0.04797,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,,33.6,54.6,4.45,26,0.498,3.43,7.46,19.7,,,418,2.81,28.5,
Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,,24,50.4,5.68,25,0.493,5,17.8,15.8,1.92,,201,5.87,22.1,
Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,6.76,14.8,99.9,4.84,44,0.494,0.314,21.7,18.3,1.58,,77.8,3.85,45.9,43.2
Gabon,Sub-Saharan Africa,143,3.896,0.04547,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,,4.31,146,3.85,34,0.697,-8.93,45.8,22.6,1.19,,7.49,3.39,88.1,
Niger,Sub-Saharan Africa,144,3.845,0.03602,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,,36,45,7.29,34,0.353,1.02,2.48,14.9,,,15.7,4.01,16.2,
Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,,26.6,134,2.59,21,0.563,1.72,22.3,23.9,2.11,,87.9,3.37,22.2,
Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,,29,73.6,5.08,30,0.531,6.55,10,17.3,1.13,,60.8,5.38,31.6,
Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,,23.5,44.1,4.24,28,0.512,7.55,4.17,18.7,0.605,,41.7,4.58,35.2,
Central African Republic,Sub-Saharan Africa,148,3.678,0.06112,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,,40,27.3,4.94,24,0.352,6.16,3.8,17.8,1.59,,7.3,1.47,40.3,
Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,,50.2,39,6.05,22,0.396,-8.15,3.5,16.1,2.03,,11.1,3.83,22.5,
Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,,18.5,89,4.93,25,0.414,2.98,8.2,18.4,3.31,,49.2,3.27,35.1,
Ivory Coast,Sub-Saharan Africa,151,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,,,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,152,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,,30.3,79.8,5.44,38,0.402,-3.07,11.4,17,1.33,,66.2,5.13,27.5,
Afghanistan,Southern Asia,153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,,20.5,58.4,4.8,11,0.479,2.43,8.26,17.3,0.993,,51.7,3.82,24.8,
Rwanda,Sub-Saharan Africa,154,3.465,0.03464,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,,28,75.3,3.97,54,0.498,0.286,18,19.4,0.928,,471,2.69,17,
Benin,Sub-Saharan Africa,155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,,22.5,88.1,5.05,37,0.485,0.0757,11.3,18.2,1.07,,93.8,3.94,45.7,
Syria,Middle East and Northern Africa,156,3.006,0.05015,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,,,76.4,2.97,18,0.536,,30,20.2,,,102,-1.18,52.2,
Burundi,Sub-Saharan Africa,157,2.905,0.08658,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,,37.1,49,5.78,21,0.404,4.86,4.87,17.6,2.33,,397,5.59,12.1,
Togo,Sub-Saharan Africa,158,2.839,0.06727,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2.2,40.7,65.5,4.52,32,0.487,3.51,7.12,18.9,1.75,,136,3.87,40.1,
