Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
Kazakhstan,Central and Eastern Europe,54,5.919,5.837,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,4.96,4.56,142,2.63,29,13.6,74.6,0.976,,6.66,1.55,57.3,,KAZ
Moldova,Central and Eastern Europe,55,5.897,5.823,5.971,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,4.18,12.1,93.3,1.24,30,5.71,71,0.44,4.24,124,-0.0112,42.5,37.4,MDA
Russia,Central and Eastern Europe,56,5.856,5.789,5.923,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,5.56,4.18,159,1.75,29,3.54,73.1,5.5,,8.79,0.324,74.2,39.2,RUS
Poland,Central and Eastern Europe,57,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,6.16,2.38,139,1.3,62,0.416,73.3,1.95,,125,-0.209,60.2,40.5,POL
South Korea,Eastern Asia,57,5.835,5.747,5.923,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,3.7,1.93,121,1.3,53,1.98,92.8,2.62,,522,0.363,81.6,43,
Bolivia,Latin America and Caribbean,59,5.822,5.74,5.904,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,,11.2,92.8,2.88,33,-1.35,39.7,1.63,,10.1,2.01,68.7,,BOL
Lithuania,Central and Eastern Europe,60,5.813,5.734,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,7.86,2.99,145,1.65,59,0.951,74.4,1.49,3.05,46.4,-1.07,67.4,38.9,LTU
Belarus,Central and Eastern Europe,61,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,5.84,6.9,121,1.7,40,8.34,71.1,1.27,,46.7,0.745,77.7,34.7,BLR
North Cyprus,Western Europe,62,5.771,5.67,5.872,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,,,,,,,,,,,,,,NCYP
Slovenia,Central and Eastern Europe,63,5.768,5.683,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,8,1.88,115,1.63,61,0.896,75.5,1,,103,0.517,54,39,SVN
Peru,Latin America and Caribbean,64,5.743,5.647,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,3.53,7,116,2.4,35,2.88,45.5,1.32,,24.8,1.49,77.5,38.4,PER
Turkmenistan,Central and Eastern Europe,65,5.658,5.58,5.736,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,,,151,2.89,22,-4.84,18,,,12,2.55,50.7,,TKM
Mauritius,Sub-Saharan Africa,66,5.648,5.507,5.789,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,6.81,3.19,144,1.43,54,2.18,52.2,0.188,1.45,622,-0.151,40.9,38.5,MUS
Libya,Middle East and Northern Africa,67,5.615,5.406,5.824,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,,,122,2.27,14,14,20.3,,,3.58,1.27,79.5,,LBY
Latvia,Central and Eastern Europe,68,5.56,5.486,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,9.64,3.42,134,1.54,57,0.274,79.8,1.48,,31.7,-0.854,68,39.3,LVA
Cyprus,Western Europe,69,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,12.9,1.81,133,1.34,55,-0.684,75.9,1.6,1.23,127,0.687,66.9,38.2,CYP
Paraguay,Latin America and Caribbean,70,5.538,5.453,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,5.25,18.1,111,2.48,30,5.28,53.4,1.26,,16.9,1.74,61,42.2,PRY
Romania,Central and Eastern Europe,71,5.528,5.427,5.629,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,5.9,4.09,116,1.52,48,2.05,59.5,1.41,1.19,85.9,-0.549,53.9,39,ROU
Estonia,Central and Eastern Europe,72,5.517,5.437,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,6.76,2.2,145,1.63,70,1.59,87.2,2.13,,31,0.244,68.6,38.6,EST
Jamaica,Latin America and Caribbean,73,5.51,5.315,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,13.2,6.63,113,2.01,39,4.6,44.4,0.959,,266,0.81,55.1,,JAM
Croatia,Central and Eastern Europe,74,5.488,5.402,5.574,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,13.1,3.43,105,1.46,49,-0.0843,72.7,1.38,1,75.3,-0.258,56.4,38.5,HRV
Hong Kong,Eastern Asia,75,5.458,5.362,5.554,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,,,,,,,,,,,,,,HKG
Somalia,Sub-Saharan Africa,76,5.44,5.321,5.559,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,,,46.5,6.27,10,,1.88,,,22.8,4.22,43.8,,SOM
Kosovo,Central and Eastern Europe,77,5.401,5.308,5.494,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,,,,,,,,,,,,,,XKX
Turkey,Middle East and Northern Africa,78,5.389,5.295,5.483,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,10.8,6.18,94.4,2.05,41,8.1,58.3,2.08,,103,2.28,74.1,46.4,TUR
Indonesia,Southeastern Asia,79,5.314,5.237,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,4.3,13.5,148,2.36,37,2.48,25.4,0.791,,144,2.4,54,40,IDN
Jordan,Middle East and Northern Africa,80,5.303,5.187,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,15.3,3.79,104,3.38,48,1.01,62.3,4.58,,107,3.46,90.5,,JOR
Azerbaijan,Central and Eastern Europe,81,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,5,5.6,105,2.08,30,14.7,78.2,3.69,,118,1.68,55,36.9,AZE
Philippines,Southeastern Asia,82,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2.71,9.66,116,2.93,35,1.7,55.5,1.22,,347,1.98,46.5,42.2,PHL
China,Eastern Asia,83,5.245,5.199,5.291,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,,8.56,97.3,1.62,40,1.14,53.2,1.93,,149,2.74,56.7,46.1,CHN
Bhutan,Southern Asia,84,5.196,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,,16.5,87.5,2.05,65,4.24,41.8,,,20.9,3.23,39.4,,BTN
Kyrgyzstan,Central and Eastern Europe,85,5.185,5.103,5.267,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,,,,,,,,,,,,,,KGZ
Serbia,Central and Eastern Europe,86,5.177,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,15.3,6.49,130,1.61,42,2.53,67.1,1.88,,101,-0.319,55.8,41.7,SRB
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,5.063,5.263,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,25.4,6.37,96.8,1.36,39,1.41,60.3,0.963,,69,0.186,47.5,41.9,BIH
Montenegro,Central and Eastern Europe,88,5.161,5.055,5.267,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,17.7,7.47,166,1.67,45,5.1,69.9,1.48,,46.7,0.531,66.1,42.9,MNE
Dominican Republic,Latin America and Caribbean,89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,7.28,5.78,81.8,2.42,31,0.872,63.9,0.67,,220,2.24,79.4,41,DOM
Morocco,Middle East and Northern Africa,90,5.151,5.058,5.244,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,9.3,12,118,2.49,37,2.2,58.3,3.21,,79,2.25,61.4,,MAR
Hungary,Central and Eastern Europe,91,5.145,5.056,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,5.11,3.72,121,1.37,48,0.959,79.3,1.04,0.809,108,0.0998,70.8,39.1,HUN
Pakistan,Southern Asia,92,5.132,5.038,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,,23.2,70.6,3.48,32,0.4,15.5,3.37,,251,2.57,36.2,47.4,PAK
Lebanon,Middle East and Northern Africa,93,5.129,5.031,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,,3.45,81.4,1.72,28,-1.68,76.1,5.03,,587,2.8,88.3,,LBN
Portugal,Western Europe,94,5.123,5.03,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,11.1,1.9,112,1.25,62,1.52,70.4,1.74,,113,0.581,64.1,38.4,PRT
Macedonia,Central and Eastern Europe,95,5.121,5.017,5.225,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,,,,,,,,,,,,,,MKD
Vietnam,Southeastern Asia,96,5.061,4.991,5.131,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,1.85,16.3,128,1.95,33,1.11,46.5,2.44,,305,3.11,34.5,41.3,VNM
Somaliland Region,Sub-Saharan Africa,97,5.057,4.934,5.18,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,,,,,,,,,,,,,,SOML
Tunisia,Middle East and Northern Africa,98,5.045,4.965,5.125,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,15.5,9.22,125,2.2,41,5.56,49.6,2.35,,73.4,1.57,68.3,,TUN
Greece,Western Europe,99,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,23.5,3.46,112,1.31,44,-0.956,69.1,2.55,,86.8,0.0201,78.4,41.2,GRC
Tajikistan,Central and Eastern Europe,100,4.996,4.923,5.069,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,,20.4,108,3.36,25,5.28,20.5,,,62.4,2.56,26.9,,TJK
Mongolia,Eastern Asia,101,4.907,4.838,4.976,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,7.24,11.7,111,2.76,38,2.12,22.3,0.848,3.98,1.95,1.78,68.3,48,MNG
Laos,Southeastern Asia,102,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,,,,,,,,,,,,,,MNG
Nigeria,Sub-Saharan Africa,103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,7.06,21,83,5.53,28,9.54,25.7,0.433,,204,4.37,48.7,,NGA
Honduras,Latin America and Caribbean,104,4.871,4.75,4.992,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,4.67,12.1,86,2.46,30,3.47,30,1.64,,81.4,2.85,55.8,40.2,HND
Iran,Middle East and Northern Africa,105,4.813,4.703,4.923,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,12.4,9.64,100,1.66,29,1.61,53.2,2.79,,49.3,1.86,73.9,,IRN
