Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
Sudan,Sub-Saharan Africa,133,4.139,3.928,4.35,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,,31.2,70.3,4.53,14,-2.75,28,2.49,,22.4,3.05,34.1,,SDN
Gabon,Sub-Saharan Africa,134,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,,4.97,150,3.79,35,-4.26,48.1,1.43,,7.68,3.04,88.6,,GAB
Mali,Sub-Saharan Africa,135,4.073,3.988,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,9.73,38.4,112,6.06,32,1.53,11.1,2.58,,14.7,4.93,40.8,42.9,MLI
Haiti,Latin America and Caribbean,136,4.028,3.893,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,,17.5,60,2.92,20,12,12.2,0.00084,,394,3.1,53.4,,HTI
Botswana,Sub-Saharan Africa,137,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,,2.05,146,2.73,60,12,39.4,3.3,,3.97,2.99,67.9,,BWA
Comoros,Sub-Saharan Africa,138,3.956,3.86,4.052,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,,,57.1,4.35,24,6.94,7.94,,,428,2.83,28.6,,COM
Ivory Coast,Sub-Saharan Africa,139,3.916,3.826,4.006,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,,,,,,,,,,,,,,CIV
Cambodia,Southeastern Asia,140,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,,24.7,126,2.56,21,3.46,32.4,1.84,,89.3,3.32,22.6,,KHM
Angola,Sub-Saharan Africa,141,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,,,45.1,5.69,18,27.7,13,2.64,,23.1,4.47,64.1,,AGO
Niger,Sub-Saharan Africa,142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,,39,36.1,7.24,35,0.24,4.32,2.24,,16.3,4.09,16.3,,NER
South Sudan,Sub-Saharan Africa,143,3.832,3.596,4.068,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,,,22.1,4.86,11,273,6.68,3.81,,20,4.16,19.1,,SSD
Chad,Sub-Saharan Africa,144,3.763,3.672,3.854,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,,49.5,38.6,5.95,20,-8.37,5,3.23,,11.5,3.83,22.7,,TCD
Burkina Faso,Sub-Saharan Africa,145,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,,29,82.6,5.35,42,4.02,14,1.24,,68.2,5.09,28.1,,BFA
Uganda,Sub-Saharan Africa,145,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,,23.7,55,5.59,25,3.53,21.9,2.06,,208,5.82,22.6,,UGA
Yemen,Middle East and Northern Africa,147,3.724,3.621,3.827,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,,15.9,59.6,4,14,4.45,24.6,,,52.2,4.21,35.4,,YEM
Madagascar,Sub-Saharan Africa,148,3.695,3.621,3.769,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,,21.3,32.1,4.18,26,6.68,4.71,0.594,,42.8,4.56,35.9,,MDG
Tanzania,Sub-Saharan Africa,149,3.666,3.561,3.771,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,,29.2,72.1,5.02,32,6.16,13,1.14,,62.7,5.33,32.3,,TZA
Liberia,Sub-Saharan Africa,150,3.622,3.463,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,,34.2,67.6,4.58,37,4.97,7.32,0.695,,47.9,3.37,50.3,,LBR
Guinea,Sub-Saharan Africa,151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,,17.8,87.1,4.86,27,7.14,9.8,2.49,,50.4,3.39,35.5,,GIN
Rwanda,Sub-Saharan Africa,152,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,,29.3,74.9,3.89,54,5.5,20,0.978,,483,2.75,17.1,,RWA
Benin,Sub-Saharan Africa,153,3.484,3.404,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,,23.2,81.8,4.98,36,-0.28,12,0.91,,96.4,3.93,46.2,,BEN
Afghanistan,Southern Asia,154,3.36,3.288,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,,21,62.3,4.64,15,5.12,10.6,0.955,,53.1,3.56,25,,AFG
Togo,Sub-Saharan Africa,155,3.303,3.192,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,,41.4,72.4,4.45,32,2.13,11.3,1.93,,140,3.83,40.6,,TGO
Syria,Middle East and Northern Africa,156,3.069,2.936,3.202,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,,,72.4,2.92,13,,31.9,,,100,-0.368,52.8,,SYR
Burundi,Sub-Saharan Africa,157,2.905,2.732,3.078,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,,36.4,50.9,5.7,20,3.8,5.17,2.24,,410,5.67,12.4,,BDI
